ASIN,impressions,clicks,units sold,spend,14 day total sales,count of campaigns,campaign,ISBN,CTR,CRV,ACOS,ROAS,period,source_file
B0CB29VTBP,23668.0,78.0,8.0,44.6,217.48,19.0,,,0.0032955889809024846,0.10256410256410256,0.20507632885782603,4.876233183856502,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
B07WGP8KRF,22261.0,62.0,3.0,33.81,66.36999999999999,20.0,,,0.0027851399308207177,0.04838709677419355,0.5094169052282659,1.963028689736764,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
B07TZHRN55,36983.428571428565,115.35714285714285,5.142857142857142,27.18642857142858,105.54142857142858,11.0,,,0.003119157614993588,0.04458204334365325,0.257590113564071,3.882136570242505,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
B07B2BH5FC,28506.42857142857,80.35714285714285,5.142857142857142,18.786428571428573,96.17142857142858,15.0,,,0.002818913027136736,0.064,0.19534313725490196,5.119196988707654,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
B0BT8TNXYQ,31591.0,82.0,3.0,17.22,50.82,14.0,,,0.002595675983666234,0.036585365853658534,0.33884297520661155,2.9512195121951224,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
B083R9W1QM,26574.42857142857,68.35714285714285,4.142857142857142,13.576428571428574,84.06142857142858,10.0,,,0.002572290225297144,0.06060606060606061,0.16150604150026343,6.19171884042721,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
B08L9HVDT9,28771.42857142857,67.35714285714285,4.142857142857142,13.296428571428574,84.06142857142858,10.0,,,0.0023411122144985103,0.061505832449628844,0.15817514402732696,6.322105828632822,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
B091GNJHYC,26010.42857142857,66.35714285714285,4.142857142857142,13.066428571428574,84.06142857142858,9.0,,,0.0025511745288977496,0.062432723358449946,0.15543904967455774,6.4333898212430976,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
B0C26S184G,56247.0,98.0,0.0,12.8,0.0,12.0,,,0.0017423151456966593,0.0,,0.0,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
B0CPNYXTDZ,5875.0,10.0,1.0,2.9800000000000004,30.88,15.0,,,0.001702127659574468,0.1,0.09650259067357515,10.362416107382549,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
B0CPV1RFLB,3808.0,12.0,1.0,2.8900000000000006,23.81,12.0,,,0.0031512605042016808,0.08333333333333333,0.12137757244855106,8.238754325259514,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
B00FHCJ6MO,164765.0,512.0,52.0,305.13,544.4000000000001,46.0,,9781452115542,0.003107456073802082,0.1015625,0.5604886113152093,1.7841575721823488,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
B00F8H0FNW,110293.0,277.0,38.0,151.93,817.22,32.0,,9781452100289,0.002511492116453447,0.1371841155234657,0.185910770661511,5.378924504706115,2025-01,G:\Sales\Amazon\AMAZON ADVERTISING\MONTHLY REPORTS\MONTHLY REPORTS - PERFORMANCE BY ASIN\2025\2025- 01 - January- Performance by ASIN_ALL.xlsx
