ASIN,ISBN,Title,AMS Spend,AMS Sales,AMS Units,Period
1452179611,9781452179612,"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul Food Recipes) (Snoop Dog x Chronicle Books)",5389.17,52561.3,3372,202301
1452180733,9781452180731,"100 Cookies: The Baking Book for Every Kitchen, with Classic Cookies, Novel Treats, Brownies, Bars, and More",2123.94,15957.88,903,202301
1616898062,9781616898069,The Architecture of Trees,191.9,1902.88,112,202301
1743793456,9781743793459,This is Home: The Art of Simple Living,1135.165,6443.16,319.5,202301
1784882887,9781784882884,Pasta Grannies: The Official Cookbook: The Secrets of Italy's Best Home Cooks,914.775,7712.44,292.5,202301
1452159254,9781452159256,Star Wars: Secrets of the Galaxy Deluxe Box Set (Star Wars x Chronicle Books),853.99,4795.14,215,202301
811870197,9780811870191,"One Line A Day: A Five-Year Memory Book (5 Year Journal, Daily Journal, Yearly Journal, Memory Journal)",1612.81,9451.51,259,202301
1452164606,9781452164601,Celestial One Line a Day,884.48,9033.92,592,202301
811868958,9780811868952,"Just Between Us: Mother & Daughter: A No-Stress, No-Rules Journal (Activity Journal for Teen Girls and Moms, Diary for Tween Girls)",699.85,8133.58,537,202301
1797210726,9781797210728,LEGO Rainbow Bricks 1000 Piece Jigsaw Puzzle,952.67,9991.37,266,202301
1452174792,9781452174792,"Canvas One Line a Day: A Five-Year Memory Book (Yearly Memory Journal and Diary, Natural Canvas Cover)",928.84,7855.74,684,202301
1797205099,9781797205090,"Dolly Parton, Songteller: My Life in Lyrics",768.89,4777.51,231,202301
B01AGIOSQ2,9791027601974,The Ultimate Book of Space,705.12,5013.91,210,202301
811864952,9780811864954,"Ivy and Bean's Treasure Box: (Beginning Chapter Books, Funny Books for Kids, Kids Book Series) (Ivy + Bean)",1084.3,8057.28,530,202301
1452174474,9781452174471,"Nordic Tales: Folktales from Norway, Sweden, Finland, Iceland, and Denmark (Nordic Folklore and Stories, Illustrated Nordic Book for Teens and Adults) (Tales of)",984.22,5478.6,460,202301
