ISBN,UC
9781797211817,47.86
9781452190174,31.80
9780811861304,29.00
9781452189949,26.87
9781616898953,22.82
9781452182063,22.52
9781616898892,19.65
9781452189529,19.60
9781452188751,18.15
810073340176,18.00
9781452161037,17.39
810073340206,17.38
810073342309,16.92
810073340152,16.72
810073340008,16.71
810073340114,16.55
810073342293,16.19
810073342286,15.97
810073341517,15.12
810073340145,15.07
9781452118710,15.00
810073342057,14.89
810073342064,14.39
810073340121,14.38
810073340428,14.22
810073340015,14.16
9781452159256,14.08
810073340022,14.04
810073340411,13.98
810073340244,13.85
810073342743,13.66
810073340404,13.38
9781797232089,13.20
9781452171579,13.15
9780811861533,12.92
810073340039,12.60
9781452138053,12.55
9781452149554,12.20
810073342101,11.91
9781452110691,11.79
810073342187,11.55
9781616897024,11.45
9781616899196,11.45
810073340107,11.12
810073340251,11.06
9781452166582,10.94
810073340138,10.84
9781452126418,10.73
9781452173818,10.65
9781797217208,10.60
810073343115,10.49
9781452188102,10.42
810073342415,10.18
9781616898991,10.14
9781452119700,9.89
810073342095,9.87
810073340169,9.77
9781452164823,9.77
9781616894863,9.53
9781616897581,9.49
810073340053,9.19
810073340220,9.06
9780811874199,9.00
9781452173849,8.98
9781797213835,8.95
810073342163,8.94
810073341524,8.91
9780811876209,8.83
9781648960239,8.74
810073342996,8.62
9781797217543,8.60
9781616898069,8.52
810073342484,8.49
810073342156,8.48
736313544077,8.46
810073343092,8.27
9781452140483,8.25
9781797227658,8.20
810073342132,8.10
9781452181158,8.10
9781797203232,8.10
5055923777763,8.09
9781452169927,8.06
9781616890407,8.06
9781452111308,8.01
9781452158273,8.00
810073340084,7.94
9781616896584,7.92
9781797215143,7.80
9780811850360,7.72
810073340046,7.67
9781452112459,7.62
9781797227740,7.60
810073340077,7.55
810073340299,7.51
9781616891770,7.49
810073340275,7.42
9781797218823,7.38
9781452101620,7.34
9781452149981,7.33
9781797225760,7.33
810073342149,7.32
810073340978,7.26
5055923779071,7.23
9781797203003,7.21
810073340305,7.19
810073340282,7.00
9780811871136,7.00
9781452136219,6.98
9781797221601,6.97
9781797217024,6.96
9780811856003,6.88
9781452168401,6.86
736313543438,6.85
5055923728369,6.82
9781616893453,6.73
9781648960192,6.73
9781452113913,6.72
9780811868112,6.64
9781797230184,6.64
9780811856928,6.59
9781797207308,6.59
9781797215198,6.56
9781616898236,6.53
5055923777756,6.49
9781797201184,6.46
9781797221762,6.46
9780811856416,6.44
9781616896515,6.36
9780811874335,6.35
9780811879637,6.32
9781452184579,6.32
9781452158495,6.28
9781452175171,6.27
9780811860468,6.25
9781452147321,6.24
810073340923,6.22
9780811835749,6.22
9781452138695,6.20
9781452148977,6.19
9781452127163,6.17
9781452180373,6.17
9781452184821,6.10
810073340947,6.09
9781616898939,6.07
9781797220017,6.06
9781797214474,6.05
9781452152004,6.00
9781616899721,6.00
9781797214245,6.00
810073342538,5.98
9781452182780,5.94
9781797217550,5.92
9781797227689,5.92
9781452118284,5.90
9781452162867,5.90
9781797203850,5.90
9780811846462,5.89
9781648961267,5.88
810073342118,5.87
736313543445,5.86
9781452144382,5.82
9781616898274,5.79
9781616896331,5.78
9781452177083,5.75
9781797208916,5.73
9781616897826,5.72
736313545197,5.66
9780811836364,5.62
9781797224442,5.61
736313543865,5.60
9781452139173,5.60
5055923753408,5.54
9781452113432,5.53
9781452139180,5.46
9781616899776,5.46
736313544978,5.45
736313543698,5.42
736313543940,5.42
810073341098,5.40
9781616894122,5.40
9781616895327,5.40
9781452172729,5.39
9780811828567,5.38
9781452163628,5.35
9781452165929,5.32
9781452178653,5.32
9781452182827,5.27
9780811877411,5.26
9781452151939,5.25
9781616892821,5.25
9781452172996,5.23
9781797216850,5.20
9781797205090,5.19
810073341876,5.17
810073340770,5.15
9781452134055,5.09
9781616898649,5.09
9781797224008,5.09
9781452165936,5.08
810073340268,5.07
9780811874663,5.07
9780811864534,5.05
9780811869386,5.05
9781452172576,5.04
9781797232317,5.04
9781452169910,5.00
9781452184654,5.00
9781616899684,5.00
9781797226415,5.00
9781616898724,4.99
9781797222462,4.96
5055923778937,4.94
9781797215280,4.93
9781452164847,4.92
9781452181813,4.92
5055923781777,4.91
9781452137360,4.91
9781797226842,4.91
9781797218434,4.87
9781797207827,4.85
810073341104,4.84
810073341159,4.83
5055923712559,4.82
9780811876001,4.82
9781616898410,4.81
736313545111,4.80
9781568984308,4.80
9781616897529,4.78
9781452101248,4.73
9781452158686,4.72
736313543728,4.69
9780811869522,4.69
736313543704,4.68
5055923778944,4.67
5055923775493,4.66
9781452164830,4.66
9781452179520,4.64
9781797209586,4.64
5055923781852,4.63
736313543858,4.61
9781452151779,4.61
9781452135076,4.60
9781452183251,4.59
9781452183268,4.59
9781452172736,4.58
9781452183244,4.58
9781452126463,4.57
9781797212579,4.57
810073340848,4.56
810073342637,4.55
5055923784297,4.54
9781452125862,4.53
810073340459,4.52
9780811862820,4.52
736313544534,4.51
5055923781845,4.51
9780811856553,4.51
9781452102276,4.51
9781797231600,4.51
9780811849005,4.50
9781568989839,4.50
9781452142760,4.49
736313545166,4.48
9781452176697,4.48
9781568984650,4.48
9781797217031,4.48
736313545029,4.45
810073341135,4.45
9781452172583,4.45
9781797224732,4.45
9781452114088,4.43
736313544541,4.42
5055923779088,4.40
9781452182353,4.40
9781648960727,4.40
9780811848305,4.39
9781452134253,4.38
9781452167619,4.37
9781452145280,4.36
9780811844338,4.35
9781452105154,4.35
9781648961229,4.35
9781452135113,4.33
9781616896010,4.33
9780811866026,4.32
810073342620,4.31
9781452161198,4.31
810073340701,4.30
5055923790014,4.30
9781452170145,4.30
9781452127484,4.29
9781616898946,4.29
9781797200866,4.27
736313544640,4.26
9781452118154,4.26
9781452173900,4.26
9780811865098,4.25
9781797203843,4.25
9781797222646,4.25
9780811858564,4.24
9781452107615,4.24
9781452117201,4.24
9781452133218,4.24
9781797202976,4.24
810073342583,4.23
5055923778920,4.23
9781797211787,4.23
9781452148274,4.22
9781616898182,4.22
810073340763,4.20
9781452176956,4.20
9781616897123,4.20
9781616898762,4.20
9781568986876,4.19
9781616896805,4.19
810073342552,4.18
9781452145037,4.18
9781616898090,4.18
9781452170091,4.17
9781452101118,4.16
9781452110103,4.16
9781452159119,4.16
9780811840484,4.15
9781452114422,4.15
9781452181929,4.15
9781616898717,4.14
9781452136332,4.12
9781452182605,4.12
9781616895280,4.12
9780811871006,4.11
9781452140537,4.10
9781452182698,4.10
9781616896348,4.10
9781452110554,4.09
9781452102924,4.08
810073341586,4.07
9781452164991,4.07
9781797208824,4.07
810073342989,4.05
810073342545,4.04
810073342606,4.04
5055923777770,4.04
9781452111018,4.04
5055923784419,4.02
9781452101293,4.02
9781452163857,4.02
9781452182056,4.02
9780811876438,4.01
9781648961670,4.01
810073342002,4.00
810073342576,4.00
9781452171043,4.00
9781452123523,3.99
9781452184920,3.99
9781797212609,3.99
810073341111,3.98
9781452154398,3.98
810073340060,3.97
810073341593,3.97
9781452111223,3.97
736313544763,3.96
9781452114309,3.96
9781452119403,3.96
9781452137438,3.96
5055923712689,3.95
9780811862356,3.95
9781452183602,3.95
9781452154886,3.94
810073340855,3.92
9781452164328,3.91
810073341210,3.90
9781452106311,3.89
9781797211909,3.89
736313544558,3.88
9781452102344,3.87
9781452118314,3.86
9781452134871,3.86
736313543780,3.85
9780811854290,3.85
9781452114460,3.85
9781452166674,3.85
9781452144771,3.84
9781452158341,3.84
9780811824460,3.83
736313544589,3.82
9781452182087,3.81
810073341272,3.80
9781452124841,3.80
9781452169323,3.80
9781648961571,3.80
9781797206110,3.80
9781452181646,3.79
9781616896928,3.78
736313543544,3.77
9781452161624,3.77
9781452169477,3.76
758524448623,3.75
9780811875998,3.75
9781452137179,3.75
9781797203799,3.75
9781797230016,3.74
9780811839754,3.73
9781452128092,3.73
9781452159768,3.72
9781452173856,3.72
9781452190358,3.71
9781797210346,3.71
9781452154688,3.70
9781452172668,3.70
9781452179858,3.70
9781797231976,3.70
5055923784280,3.69
9781452111636,3.69
9781452151274,3.69
9781452155067,3.69
9781797221465,3.69
810073340602,3.68
5055923712665,3.68
9781452175805,3.68
9781797220024,3.68
5055923778821,3.67
9780811855600,3.67
9781452118888,3.67
9781568986883,3.67
9781797210506,3.67
9781616895303,3.66
9781452101422,3.65
9781452127019,3.65
9781452181127,3.65
9781648961151,3.65
9781797207131,3.65
9781797220994,3.65
9781452118147,3.64
9781452182452,3.64
9781452105512,3.63
9781452123653,3.63
9781797202723,3.63
9781797210513,3.63
9781452170725,3.62
9780811806404,3.61
9781452108506,3.61
9781452166513,3.61
9781616899004,3.61
9780811833882,3.60
9781452182049,3.60
9781452183077,3.60
9781616893187,3.60
9781648961168,3.60
9780811844277,3.58
9781452176390,3.58
9781452155364,3.57
9781452159225,3.57
9781797224282,3.57
9781452131580,3.56
9781452178585,3.56
9781797222288,3.56
810073341081,3.55
9781452158709,3.55
9781452174136,3.55
9781452101637,3.54
9781452148649,3.54
9781452161792,3.54
9781616899646,3.54
9780811866095,3.53
9781452117263,3.53
9781452163840,3.53
9781616890360,3.53
5055923765746,3.51
9780811858342,3.51
810073341906,3.50
9781452140063,3.50
9781452144009,3.50
9781452158266,3.50
9781452161143,3.50
5055923778906,3.49
9781452102849,3.49
9781452178707,3.49
5055923779170,3.48
9780811875486,3.48
9781452158662,3.48
9781452172156,3.48
9781452172392,3.48
9781452172408,3.48
9781452172415,3.48
9780811876650,3.47
9781452117256,3.47
736313544022,3.46
810073342453,3.46
5055923781821,3.46
9781452182773,3.46
9780811868341,3.45
9781452106144,3.45
9781616898571,3.45
9781797205649,3.45
9781797200934,3.44
5055923781838,3.43
9781452127545,3.43
9781452127552,3.43
9781452153155,3.43
9781452159362,3.43
9781797215556,3.43
9781797228723,3.43
736313543711,3.42
9781452166308,3.42
9788425228933,3.42
5055923773086,3.41
736313543964,3.40
736313544596,3.40
810073341173,3.40
810073341371,3.40
810073341951,3.40
5055923778975,3.40
5055923781746,3.40
5055923785263,3.40
9781452122212,3.40
9781452163864,3.40
9781452164342,3.40
9781797207148,3.40
9781797216829,3.40
736313543421,3.39
9781452116723,3.39
9781452153834,3.39
9781452176512,3.39
9781616897161,3.39
5055923752043,3.38
5055923752050,3.38
5055923752074,3.38
9781452137384,3.38
9781452166711,3.38
9781452180878,3.38
5055923785232,3.37
9780811877046,3.37
9781452167237,3.37
9781452171647,3.37
9781797225296,3.37
9781797229256,3.37
736313543490,3.36
5055923785515,3.36
9780811876834,3.36
9781452105048,3.36
9781452114385,3.36
9781452141992,3.36
9781452172460,3.36
9781452172484,3.36
9781452172491,3.36
9781452179964,3.36
9781452179971,3.36
9781452179988,3.36
9781452179995,3.36
9781797201375,3.36
9781797219806,3.36
9781797229690,3.36
5055923726853,3.35
9780811850995,3.35
9781452158785,3.35
9781452172941,3.35
736313543483,3.34
810073341388,3.34
9781452163994,3.34
9780811863797,3.33
9781452156439,3.33
9781452161174,3.33
9781616898229,3.33
9781797223681,3.33
9781797232065,3.33
5055923726860,3.32
9781452138336,3.32
9781452179810,3.32
810073342491,3.31
5055923778913,3.31
9780811806473,3.31
9781452176789,3.31
9781797229133,3.31
736313545012,3.30
758524448951,3.30
810073342613,3.30
5055923781180,3.30
9781452145167,3.30
9781452145174,3.30
9781452151601,3.30
9781452175638,3.30
9781797229270,3.30
9780811841122,3.29
9780811869447,3.29
9781452168487,3.29
9781452170206,3.29
9781452177113,3.29
9781797202914,3.29
9781452162881,3.28
9781452163826,3.28
9781452170749,3.28
9781616899882,3.28
9781648961762,3.28
9781797213729,3.28
736313544565,3.27
5055923781173,3.27
9780811858700,3.27
9781452178905,3.27
9781452127996,3.26
9781452128283,3.26
9781452173313,3.26
9781452175850,3.26
9781452178639,3.26
9781452149516,3.25
9780811874502,3.24
9781452102832,3.24
9781452143095,3.24
9781452156422,3.24
9781616898137,3.24
9781616898144,3.24
736313544947,3.23
9781452149523,3.23
9781452165066,3.23
9781452169507,3.23
9781452171340,3.23
9781797228952,3.23
736313545005,3.22
9780811877855,3.22
9781452155685,3.22
9781452112039,3.21
9781452173740,3.21
810073342040,3.20
5055923789919,3.20
9780811874458,3.20
9780811879477,3.20
9781452163680,3.20
9781452164731,3.20
9781452169941,3.20
9781452178738,3.20
9781452181233,3.20
9781616897154,3.20
9781797211374,3.20
810073340565,3.19
9781452142982,3.19
9781452145839,3.19
9781797216904,3.19
9781797216911,3.19
736313543834,3.18
5055923765685,3.18
9781452172569,3.18
810073340688,3.17
9781452171661,3.17
9781452174099,3.17
736313544015,3.16
810073342705,3.16
9781452108230,3.16
9781452145198,3.16
9781452175553,3.16
9781452169361,3.15
9781452172743,3.15
9781568989976,3.15
9781648960932,3.15
9781797202952,3.15
736313543827,3.14
810073340596,3.14
9781452137353,3.14
9781648960680,3.14
810073341661,3.13
9780811875554,3.13
9781452166117,3.13
9781797215242,3.13
736313544930,3.12
9781797219783,3.12
736313543476,3.11
736313544787,3.11
5055923765692,3.11
9781452162997,3.11
736313544008,3.10
810073340466,3.10
5055923776124,3.10
9781452150215,3.10
9781452150222,3.10
9781616899240,3.10
9781452145181,3.09
9781452155869,3.09
9781452156378,3.09
9781797215129,3.09
810073342170,3.08
810073342842,3.08
9781452127064,3.08
9781648960086,3.08
9781797205915,3.08
9781797216317,3.08
810073340695,3.07
9781452117164,3.07
9781452140575,3.07
9781452169934,3.07
9781797205632,3.07
9781797225180,3.07
810073340633,3.06
9780811877541,3.06
9781648961601,3.06
810073342385,3.05
9781452159331,3.05
9781452164755,3.05
9781452178608,3.05
9781797228457,3.05
9780811858755,3.04
9781452180984,3.04
9781797219943,3.04
736313543971,3.03
810073340589,3.03
9781452100593,3.03
9781452176383,3.03
9781616897109,3.03
9781797203034,3.03
9781797232027,3.03
736313545142,3.02
2781616892975,3.02
9780811861281,3.02
9781452167213,3.02
9781452174822,3.02
9781452178288,3.02
810073342460,3.01
5060121271388,3.01
9781452145402,3.01
810073340626,3.00
810073341166,3.00
810073342019,3.00
9781452127088,3.00
9781452134352,3.00
9781452145297,3.00
9781452150239,3.00
9781452159287,3.00
9781452163062,3.00
9781452165943,3.00
9781452167206,3.00
9781452174440,3.00
9781452180687,3.00
9781797229140,3.00
9781797232584,3.00
9781452149783,2.99
9781452181196,2.99
810073341234,2.98
5055923785249,2.98
9781452144870,2.98
9781616899264,2.98
9781797222196,2.98
9781797230078,2.98
5055923785492,2.97
9780811820882,2.97
9781452101811,2.97
9781452173160,2.97
9781797207254,2.97
5055923766293,2.96
9780811847742,2.96
9781452139890,2.96
9781452167879,2.96
9781616895730,2.96
9781616898878,2.96
9781648960963,2.96
9781797222455,2.96
810073341609,2.95
9780811864954,2.95
9781452114293,2.95
9781452136493,2.95
9781452137445,2.95
9781797209531,2.95
9781797229126,2.95
9780811870238,2.94
9780811879545,2.94
9781452165967,2.94
9781452178271,2.94
9781797200859,2.94
9781797208015,2.94
9781797232225,2.94
9781797234694,2.94
9781452135182,2.93
9781452159201,2.93
9781452184593,2.93
9781616899097,2.93
9781797203065,2.93
9781797207742,2.93
9781452101699,2.92
9781452115368,2.92
9781452166278,2.92
5055923712641,2.91
9780811872195,2.91
9781452158501,2.91
9781452165158,2.91
9781452169576,2.91
9781616895372,2.91
9781797215884,2.91
9781797217192,2.91
9781797219455,2.91
736313543988,2.90
9780811876506,2.90
9781616896256,2.90
9781797202235,2.90
9781797209623,2.90
9781797216669,2.90
9781797218472,2.90
9781797218489,2.90
9781797224541,2.90
9781797230900,2.90
5055923783290,2.89
5055923785768,2.89
9781452179537,2.89
9781797200842,2.89
810073341036,2.88
9780811867672,2.88
9781452112879,2.88
9781616897420,2.88
9781797208343,2.88
5055923785218,2.87
9780811853491,2.87
9780811869119,2.87
9780811874984,2.87
9780811879699,2.87
9781452119625,2.87
9781452151298,2.87
9781797219882,2.87
5055923753422,2.86
9781452108889,2.86
9781452180885,2.86
9781616896379,2.86
9781797222622,2.86
9780811878630,2.85
9781452148960,2.85
9781616892180,2.85
9781616897918,2.85
9781616899073,2.85
9781648960352,2.85
9781797225852,2.85
9781452135489,2.84
9781452153520,2.84
9781452159461,2.84
9781452173337,2.84
9780811836722,2.83
9781452119502,2.83
9781452122236,2.83
9781452135120,2.83
9781452168524,2.83
9781616897925,2.83
9781797216980,2.83
9781797219776,2.83
9780811819916,2.82
9780811866750,2.82
9781452122243,2.82
9781452136233,2.82
9781452156583,2.82
9781452164564,2.82
9781452182650,2.82
9781797201863,2.82
810073342408,2.81
9781452170404,2.81
9781452174877,2.81
810073341845,2.80
5055923789933,2.80
5055923789940,2.80
9780811859417,2.80
9781452134482,2.80
9781452164922,2.80
9781452180922,2.80
9781452183329,2.80
5055923776230,2.79
9781452113289,2.79
9781452156590,2.79
9781452167640,2.79
9781452176628,2.79
9781616895310,2.79
9781616898595,2.79
9781797221274,2.79
810073340541,2.78
9780811870412,2.78
9781452114323,2.78
9781452163703,2.78
9781452171289,2.78
9781452180939,2.78
9781797214856,2.78
9781797225531,2.78
9781797226248,2.78
9781797232010,2.78
736313544985,2.77
810073341692,2.77
5055923779125,2.77
9781452105956,2.77
9781452122304,2.77
9781452168623,2.77
9781452183312,2.77
9781616899981,2.77
9781797220307,2.77
9781797227474,2.77
736313544992,2.76
9781452125909,2.76
9781616898557,2.76
810073342262,2.75
9780811850438,2.75
9780974848600,2.75
9781452101781,2.75
9781452102818,2.75
9781452108810,2.75
9781452113838,2.75
9781452122205,2.75
9781452156187,2.75
9781452182292,2.75
9781616890834,2.75
9781797220161,2.75
9780811855181,2.74
9781452170992,2.74
736313543995,2.73
5055923778968,2.73
9780811875097,2.73
9781452168760,2.73
9781452171678,2.73
9781452175812,2.73
9781616895839,2.73
9781648961717,2.73
9781797202631,2.73
9781797210162,2.73
736313544770,2.72
5055923751909,2.72
9781452166032,2.72
9780811851534,2.71
9781452112077,2.71
9781452128238,2.71
9781452136226,2.71
9781797214535,2.71
5055923785751,2.70
9780811828031,2.70
9780811859561,2.70
9781452108193,2.70
9781452121567,2.70
9781452159164,2.70
9781452178714,2.70
9781616891701,2.70
9781616896867,2.70
9781797229249,2.70
9781797229294,2.70
9780811877565,2.69
9781452166315,2.69
9781452102559,2.68
9781452104157,2.68
