Program=[Retail],Distributor View=[Manufacturing],View By=[ASIN],Countries=[US],Businesses=[Chronicle],Locale=[en_US],Currency=[USD],Reporting Range=[Month],Viewing Range=[2/1/24 - 2/29/24],Report Updated=[8/19/24]
ASIN,"Product Title",Brand,"Ordered Revenue","Ordered Revenue - Prior Period","Ordered Revenue - Same Period Last Year","Ordered Units","Ordered Units - Prior Period","Ordered Units - Same Period Last Year","Shipped Revenue","Shipped Revenue - Prior Period","Shipped Revenue - Same Period Last Year","Shipped COGS","Shipped COGS - Prior Period","Shipped COGS - Same Period Last Year","Shipped Units","Shipped Units - Prior Period","Shipped Units - Same Period Last Year","Customer Returns","Customer Returns - Prior Period","Customer Returns - Same Period Last Year"
1797204300,"Construction Site: You're Just Right: A Valentine Lift-the-Flap Book (Goodnight, Goodnight, Construc)","Chronicle Books","$61,523.00","-9.05%","-22.46%","6,580","-1.54%","-8.85%","$66,363.20","4.56%","-31.53%","$42,496.00","14.03%","-19.61%","7,096","13.90%","-19.54%",135,"938.46%","-2.88%"
0811870413,"Tartine Bread (Artisan Bread Cookbook, Best Bread Recipes, Sourdough Book)","Chronicle Books","$56,186.05","-21.03%","26.00%","2,495","-20.99%","15.19%","$57,303.14","-19.71%","28.18%","$46,797.82","-19.56%","17.20%","2,545","-19.64%","17.28%",160,"-8.57%","50.94%"
1452179611,"From Crook to Cook: Platinum Recipes from Tha Boss Dogg's Kitchen (Snoop Dogg Cookbook, Celebrity Cookbook with Soul Food Recipes) (Snoop Dog x Chronicle Books)","Chronicle Books","$49,786.58","-44.31%","-40.35%","3,141","-43.42%","-41.23%","$50,268.98","-52.61%","-40.65%","$36,384.05","-51.25%","-41.61%","3,165","-51.07%","-41.57%",374,"-71.96%","-4.83%"
1452145768,"Floret Farm's Cut Flower Garden: Grow, Harvest, and Arrange Stunning Seasonal Blooms (Floret Farms x Chronicle Books)","Chronicle Books","$47,660.62","68.22%","49.90%","2,458","68.24%","73.83%","$47,272.82","65.95%","49.95%","$33,610.31","66.10%","73.91%","2,438","65.96%","73.89%",41,"-48.10%","-6.82%"
1452184895,"Tiny T. Rex and the Perfect Valentine","Chronicle Books","$45,529.13","10.52%","164.06%","6,912","9.25%","140.33%","$49,097.24","29.47%","116.91%","$27,611.86","28.66%","86.42%","7,460","28.09%","96.83%",98,"326.09%","1.03%"
1797226487,"Stay Curious and Keep Exploring: Next Level: 50 Bigger, Bolder Science Experiments to Do with the Whole Family","Chronicle Prism","$44,730.02","160.82%",,"2,131","160.83%",,,,,,,,,,,,,
1797221302,"Manifest: 7 Steps to Living Your Best Life","Chronicle Prism","$40,842.87","4.26%",,"2,283","4.53%",,"$40,932.32","1.93%","8,433.26%","$21,011.80","2.25%","7,052.71%","2,288","2.23%","7,050.00%",46,"-31.34%","70.37%"
1797204319,"Construction Site: Spring Delight: An Easter Lift-the-Flap Book (Goodnight, Goodnight, Construc)","Chronicle Books","$38,709.34","564.99%","31.45%","4,370","565.14%","73.07%","$34,571.72","518.38%","28.75%","$23,341.70","519.57%","69.93%","3,902","518.38%","69.87%",10,"-9.09%","66.67%"
0811864952,"Ivy and Bean's Treasure Box: (Beginning Chapter Books, Funny Books for Kids, Kids Book Series) (Ivy + Bean)","Chronicle Books","$34,887.57","31.31%","16.72%","2,426","49.11%","-3.23%","$34,027.28","30.09%","14.54%","$21,657.67","46.89%","-5.64%","2,355","47.00%","-5.46%",70,"-72.11%","-19.54%"
1797221922,"Construction Site: Taking Flight! (Goodnight, Goodnight, Construc)","Chronicle Books","$34,115.79","48.90%","20,970.84%","2,646","86.86%","29,300.00%","$33,873.17","49.42%",,"$21,596.03","86.17%",,"2,608","86.15%",,40,"-55.06%",
1797202642,"Everyone Poops (Taro Gomi)","Chronicle Books","$30,221.84","-7.60%","-4.57%","2,210","-8.22%","-0.41%","$30,314.38","-7.70%","-3.60%","$17,327.86","-8.37%","0.57%","2,215","-8.36%","0.54%",57,"18.75%","1.79%"
0735362149,"Galison Winter Lights Foil Puzzle 500 Pieces – Holiday Jigsaw Puzzle Featuring Festive City Scene by Joy Laforme – Thick, Sturdy Pieces Challenging Family Activity Great Gift Idea",Galison,"$28,721.86","-39.24%",,"1,605","-32.45%",,"$26,579.30","-58.24%","3,523.13%","$10,987.50","-53.88%","4,244.60%","1,467","-53.85%","4,091.43%",62,"-1.59%","181.82%"
1797226665,"Disappointing Affirmations","Chronicle Books","$27,633.38","13.16%",,"2,053","15.53%",,,,,,,,,,,,,
1452180733,"100 Cookies: The Baking Book for Every Kitchen, with Classic Cookies, Novel Treats, Brownies, Bars, and More","Chronicle Books","$27,452.75","-24.00%","-2.52%","1,532","-24.08%","-2.54%","$27,641.41","-25.77%","-1.10%","$19,504.11","-25.87%","-1.31%","1,542","-25.90%","-1.15%",103,"-61.85%","9.57%"
1452111731,"Goodnight, Goodnight Construction Site (Board Book for Toddlers, Children's Board Book)","Chronicle Books","$26,939.69","-3.66%","-3.89%","5,880","-3.51%","-12.36%","$27,370.88","-1.44%","-1.78%","$21,976.44","-1.26%","-10.45%","5,973","-1.32%","-10.41%",178,"-55.83%","69.52%"
0811877825,"Goodnight, Goodnight, Construction Site","Chronicle Books","$24,622.62","-7.54%","42.97%","2,168","-7.43%","50.87%","$24,921.37","-3.48%","45.21%","$17,137.49","-3.25%","53.36%","2,194","-3.22%","53.53%",101,"-27.86%","90.57%"
1452139970,"Love Is: (Illustrated Story Book about Caring for Others, Book About Love for Parents and Children, Rhyming Picture Book)","Chronicle Books","$24,415.47","9.15%","26.81%","1,798","9.57%","30.57%","$29,672.93","72.40%","41.41%","$17,061.64","76.88%","52.25%","2,184","73.20%","45.41%",75,"525.00%","56.25%"
1797215760,"The Nap Ministry's Rest Deck: 50 Practices to Resist Grind Culture","Chronicle Books","$24,106.85","21.94%","114.88%","1,344","21.96%","115.04%","$23,341.51","20.85%",,"$11,934.00","20.82%",,"1,300","20.82%",,26,"0.00%",
