PERIOD,ISBN,PT,qty
202107,9780811862509,BK,-3814
202007,9781452171258,FT,-1358
202409,9780811862509,BK,-1303
202007,9781452182674,FT,-1294
202409,9780811849111,BK,-499
202207,9781452164953,FT,-187
202102,9781452153179,BK,-141
202012,9780811864817,BK,-96
202409,9781452102368,BK,-96
202206,9781452179636,FT,-38
202004,9781452182759,BK,-16
202207,9781452106311,BK,-14
202005,9781452171258,FT,-9
202111,9781452131566,BK,-5
202110,9780811834155,BK,-2
202005,9781452106205,BK,-2
202308,9781587170003,BK,-2
202209,9781452125787,BK,-2
202403,9781452155388,FT,-1
202108,9780811852432,BK,-1
202102,9781452177083,FT,-1
202402,9781452150284,BK,0
202204,9781452148991,BK,0
202106,9780811829885,BK,0
202501,9781452131566,BK,0
202005,9781452173832,BK,0
202005,9781452150284,BK,0
202102,9781452147383,FT,0
202112,9780811864817,BK,0
202005,9780811829885,BK,0
202110,9781452141978,BK,0
202004,9780811875424,BK,0
202312,9781452169507,BK,0
202004,9780811839143,BK,0
202207,9781452165110,FT,0
202007,9781452147383,FT,0
202005,9781452159256,BK,0
202008,9781452117263,BK,0
202108,9780811864794,BK,0
202004,9781452165110,FT,0
202005,9780811852432,BK,0
202010,9781452141251,BK,0
202005,9780811857826,BK,0
202102,9781452169507,BK,0
202201,9781452161341,BK,0
202009,9781452147383,FT,0
202005,9780811875141,BK,0
202006,9781452173832,BK,0
202312,9781452184821,BK,0
202004,9781452117348,FT,0
202202,9781452155067,FT,0
202009,9781587170003,BK,0
202101,9781452159256,BK,0
202110,9780811864817,BK,0
202004,9780811814928,BK,0
202004,9781452155845,BK,0
202101,9781452169507,BK,0
202006,9781452165110,FT,0
202303,9781452177137,BK,0
202004,9780811834155,BK,0
202401,9781452169507,BK,0
202402,9781452168401,BK,0
202004,9780811829885,BK,0
202409,9781452173832,BK,0
202111,9780811864817,BK,1
202208,9781452183015,FT,1
202504,9781616895327,BK,1
202109,9780811864831,BK,1
202307,9780811875141,BK,1
202004,9781452145150,BK,1
202004,9781452141251,BK,1
202105,9781452165110,FT,1
202005,9781452165110,FT,1
202003,9781452182827,BK,1
202311,9780811811217,BK,1
202208,9780811824996,BK,1
202006,9780811863711,FT,1
202005,9780811863551,BK,1
202305,9781452182759,BK,1
202504,9781452156378,BK,1
202109,9781452152103,BK,1
202502,9780811852432,BK,1
202304,9781452165110,FT,1
202011,9781452117263,BK,1
202403,9781452182759,BK,1
202407,9781452165110,FT,1
202006,9781452169132,BK,1
202210,9781452106199,BK,1
202411,9780811807180,BK,1
202010,9781452145150,BK,1
202005,9781452145150,BK,1
202204,9781452169507,BK,1
202406,9781452161341,BK,1
202412,9781616895778,BK,1
202310,9781452178752,FT,1
202106,9781452161372,BK,1
202302,9781452108193,FT,1
202310,9781616895778,BK,1
202004,9781452129013,BK,1
202503,9781452147383,FT,1
